,sensor,ekf,pos,att,nav,cmdr,fmu,io
0,0,0,0,0,76,0,0,0
1,0,0,0,0,76,88,0,0
2,0,0,0,0,76,88,0,1735
3,0,0,0,0,76,88,10,1735
4,0,1717,0,0,76,88,10,1735
5,0,1717,0,189,76,88,10,1735
6,0,1717,48,189,76,88,10,1735
7,37,1717,48,189,76,88,10,1735
8,37,1717,48,189,44,88,10,1735
9,37,1717,48,189,44,78,10,1735
10,37,1717,48,189,44,78,10,1783
11,37,1717,48,189,44,78,10,1783
12,37,821,48,189,44,78,10,1783
13,37,821,41,189,44,78,10,1783
14,332,821,41,189,44,78,10,1783
15,332,821,41,197,44,78,10,1783
16,332,821,41,197,61,78,10,1783
17,332,821,41,197,61,78,10,1783
18,332,1298,41,197,61,78,10,1783
19,332,1298,41,194,61,78,10,1783
20,332,1298,41,194,61,78,10,1783
21,102,1298,41,194,61,78,10,1783
22,102,1298,41,194,61,78,10,1782
23,102,1298,41,194,61,78,10,1782
24,102,1298,41,194,44,78,10,1782
25,102,1298,41,194,44,78,10,1782
26,102,1298,41,290,44,78,10,1782
27,102,1298,41,290,44,78,10,1782
28,102,1298,41,290,44,78,10,1783
29,102,1298,41,290,44,78,10,1783
30,102,113,41,290,44,78,10,1783
31,101,113,41,290,44,78,10,1783
32,101,113,41,290,1548,78,10,1783
33,101,113,41,290,1548,78,10,1777
34,101,113,41,290,1548,78,15,1777
35,101,127,41,290,1548,78,15,1777
36,101,127,41,290,1548,78,15,1777
37,101,127,39,290,1548,78,15,1777
38,101,127,39,222,1548,78,15,1777
39,101,127,39,222,1548,78,15,1777
40,101,461,39,222,1548,78,15,1777
41,101,461,39,222,1548,78,15,1777
42,101,461,41,222,1548,78,15,1777
43,101,461,41,209,1548,78,15,1777
44,101,461,41,209,1548,80,15,1777
45,101,461,41,209,1548,80,15,1841
46,101,461,41,209,77,80,15,1841
47,101,461,41,209,77,80,10,1841
48,101,461,41,209,48,80,10,1841
49,101,461,41,222,48,80,10,1841
50,101,461,41,222,48,80,10,1841
51,101,461,41,222,48,80,10,1841
52,101,461,41,222,48,80,10,1749
53,101,461,41,222,48,80,10,1749
54,101,461,41,222,48,80,10,1749
55,101,125,41,222,48,80,10,1749
56,101,125,41,222,48,80,10,1749
57,101,125,41,222,48,80,10,1792
58,101,125,41,222,49,80,10,1792
59,101,125,41,222,49,80,14,1792
60,101,113,41,222,49,80,14,1792
61,105,113,41,222,49,80,14,1792
62,105,113,39,222,49,80,14,1792
63,105,113,39,195,49,80,14,1792
64,105,113,39,195,49,80,14,1733
65,105,113,39,195,49,140,14,1733
66,105,113,39,195,65,140,14,1733
67,105,113,39,195,65,140,10,1733
68,105,176,39,195,65,140,10,1733
69,121,176,39,195,65,140,10,1733
70,121,176,482,195,65,140,10,1733
71,121,176,482,197,65,140,10,1733
72,121,176,482,197,65,156,10,1733
73,121,176,482,197,45,156,10,1733
74,121,112,482,197,45,156,10,1733
75,101,112,482,197,45,156,10,1733
76,101,112,493,197,45,156,10,1733
77,101,112,493,196,45,156,10,1733
78,101,112,493,196,45,156,10,1754
79,101,112,493,196,45,156,10,1754
80,101,112,493,196,45,173,10,1754
81,101,112,493,196,47,173,10,1754
82,101,112,493,196,47,173,10,1760
83,101,112,493,196,47,173,14,1760
84,101,474,493,196,47,173,14,1760
85,101,474,493,196,47,173,14,1760
86,101,474,557,196,47,173,14,1760
87,101,474,557,254,47,173,14,1760
88,101,474,557,254,1808,173,14,1760
89,101,474,557,254,1808,173,14,1762
90,101,474,557,254,1808,173,14,1762
91,101,476,557,254,1808,173,14,1762
92,101,476,557,254,1808,173,14,1762
93,101,476,501,254,1808,173,14,1762
94,101,476,501,210,1808,173,14,1762
95,101,476,501,210,1808,520,14,1762
96,101,476,501,210,235,520,14,1762
97,101,613,501,210,235,520,14,1762
98,101,613,501,210,235,520,14,1762
99,101,613,549,210,235,520,14,1762
100,101,613,549,243,235,520,14,1762
101,101,613,549,243,235,520,14,1773
102,101,613,549,243,235,84,14,1773
103,101,613,549,243,235,84,14,1773
104,101,613,549,243,95,84,14,1773
105,101,613,802,243,95,84,14,1773
106,101,613,802,366,95,84,14,1773
107,101,613,802,366,95,84,14,1788
108,101,613,802,366,95,81,14,1788
109,101,613,802,366,95,81,10,1788
110,101,157,802,366,95,81,10,1788
111,101,157,802,366,95,81,10,1788
112,101,157,802,366,97,81,10,1788
113,101,157,802,366,97,81,10,1752
114,101,157,802,366,97,85,10,1752
115,101,157,802,366,97,85,10,1752
116,101,112,802,366,97,85,10,1752
117,161,112,802,366,97,85,10,1752
118,161,112,481,366,97,85,10,1752
119,161,112,481,198,97,85,10,1752
120,161,112,481,198,95,85,10,1752
121,161,112,481,198,95,85,10,1752
122,161,191,481,198,95,85,10,1752
123,206,191,481,198,95,85,10,1752
124,206,191,654,198,95,85,10,1752
125,206,191,654,289,95,85,10,1752
126,206,191,654,289,95,85,10,1783
127,206,191,654,289,95,85,10,1783
128,206,191,654,289,2522,85,10,1783
129,206,191,654,289,2522,156,10,1783
130,206,191,654,289,2522,156,10,1761
131,206,191,654,289,2522,156,10,1761
132,206,805,654,289,2522,156,10,1761
133,206,805,498,289,2522,156,10,1761
134,206,805,498,210,2522,156,10,1761
135,102,805,498,210,2522,156,10,1761
136,102,805,498,210,94,156,10,1761
137,102,805,498,210,94,403,10,1761
138,102,805,498,210,94,403,10,1736
139,102,805,498,210,94,403,10,1736
140,102,116,498,210,94,403,10,1736
141,156,116,498,210,94,403,10,1736
142,156,116,789,210,94,403,10,1736
143,156,116,789,314,94,403,10,1736
144,156,116,789,314,171,403,10,1736
145,156,116,789,314,171,403,10,1803
146,156,116,789,314,171,403,10,1803
147,156,462,789,314,171,403,10,1803
148,102,462,789,314,171,403,10,1803
149,102,462,778,314,171,403,10,1803
150,102,462,778,315,171,403,10,1803
151,102,462,778,315,171,90,10,1803
152,102,462,778,315,104,90,10,1803
153,102,127,778,315,104,90,10,1803
154,153,127,778,315,104,90,10,1803
155,153,127,513,315,104,90,10,1803
156,153,127,513,210,104,90,10,1803
157,153,127,513,210,104,90,10,1763
158,153,127,513,210,104,88,10,1763
159,153,127,513,210,104,88,13,1763
160,153,127,513,210,106,88,13,1763
161,153,127,513,210,106,88,13,1749
162,153,127,513,210,106,90,13,1749
163,153,127,513,210,106,90,10,1749
164,153,830,513,210,106,90,10,1749
165,153,830,493,210,106,90,10,1749
166,153,830,493,200,106,90,10,1749
167,101,830,493,200,106,90,10,1749
168,101,830,493,200,228,90,10,1749
169,101,830,493,200,228,81,10,1749
170,101,830,493,200,228,81,10,1796
171,101,830,493,200,228,81,10,1796
172,101,461,493,200,228,81,10,1796
173,101,461,493,200,228,81,10,1796
174,101,461,504,200,228,81,10,1796
175,101,461,504,200,228,81,10,1796
176,101,461,504,200,247,81,10,1796
177,101,461,504,200,247,86,10,1796
178,101,126,504,200,247,86,10,1796
179,101,126,504,200,247,86,10,1796
180,101,126,486,200,247,86,10,1796
181,101,126,486,200,247,86,10,1796
182,101,126,486,200,247,86,10,1787
183,101,126,486,200,247,86,16,1787
184,101,126,486,200,104,86,16,1787
185,101,126,486,200,104,81,16,1787
186,101,126,491,200,104,81,16,1787
187,101,126,491,200,104,81,16,1787
188,101,126,491,200,104,81,16,1821
189,101,126,491,200,104,81,14,1821
190,101,112,491,200,104,81,14,1821
191,101,112,491,200,104,81,14,1821
192,101,112,491,200,245,81,14,1821
193,101,112,491,200,245,90,14,1821
194,101,112,491,200,245,90,14,1830
195,101,112,491,200,245,90,10,1830
196,101,1393,491,200,245,90,10,1830
197,101,1393,491,214,245,90,10,1830
198,101,1393,329,214,245,90,10,1830
199,117,1393,329,214,245,90,10,1830
200,117,1393,329,214,103,90,10,1830
201,117,830,329,214,103,90,10,1830
202,117,830,505,214,103,90,10,1830
203,117,830,505,211,103,90,10,1830
204,101,830,505,211,103,90,10,1830
205,101,830,505,211,103,150,10,1830
206,101,830,505,211,103,150,10,1867
207,101,830,505,211,103,150,14,1867
208,101,830,505,211,2194,150,14,1867
209,105,830,505,211,2194,150,14,1867
210,105,830,795,211,2194,150,14,1867
211,105,830,795,324,2194,150,14,1867
212,105,830,795,324,2194,150,14,1786
213,105,830,795,324,2194,85,14,1786
214,105,830,795,324,2194,85,10,1786
215,105,116,795,324,2194,85,10,1786
216,105,116,795,324,163,85,10,1786
217,105,116,795,324,163,157,10,1786
218,105,116,795,324,163,157,10,1792
219,105,116,795,324,163,157,14,1792
220,105,746,795,324,163,157,14,1792
221,105,746,636,324,163,157,14,1792
222,105,746,636,286,163,157,14,1792
223,101,746,636,286,163,157,14,1792
224,101,746,636,286,110,157,14,1792
225,101,746,636,286,110,82,14,1792
226,101,169,636,286,110,82,14,1792
227,153,169,636,286,110,82,14,1792
228,153,169,717,286,110,82,14,1792
229,153,169,717,294,110,82,14,1792
230,153,169,717,294,110,82,14,1855
231,153,169,717,294,110,82,14,1855
232,153,169,717,294,163,82,14,1855
233,153,169,717,294,163,150,14,1855
234,153,112,717,294,163,150,14,1855
235,102,112,717,294,163,150,14,1855
236,102,112,498,294,163,150,14,1855
237,102,112,498,197,163,150,14,1855
238,102,112,498,197,163,150,14,1892
239,102,112,498,197,163,150,14,1892
240,102,112,498,197,104,150,14,1892
241,102,112,498,197,104,137,14,1892
242,102,112,498,197,104,137,14,1775
243,102,112,498,197,104,137,14,1775
244,102,480,498,197,104,137,14,1775
245,101,480,498,197,104,137,14,1775
246,101,480,558,197,104,137,14,1775
247,101,480,558,256,104,137,14,1775
248,101,480,558,256,1136,137,14,1775
249,101,480,558,256,1136,137,14,1765
250,101,480,558,256,1136,137,14,1765
251,101,112,558,256,1136,137,14,1765
252,102,112,558,256,1136,137,14,1765
253,102,112,495,256,1136,137,14,1765
254,102,112,495,209,1136,137,14,1765
255,102,112,495,209,1136,86,14,1765
256,102,112,495,209,103,86,14,1765
257,102,495,495,209,103,86,14,1765
258,101,495,495,209,103,86,14,1765
259,101,495,503,209,103,86,14,1765
260,101,495,503,211,103,86,14,1765
261,101,495,503,211,103,81,14,1765
262,101,495,503,211,103,81,14,1798
263,101,495,503,211,103,81,10,1798
264,101,495,503,211,163,81,10,1798
265,101,495,503,211,163,81,10,1798
266,101,495,503,211,163,81,10,1828
267,101,495,503,211,163,81,10,1828
268,101,514,503,211,163,81,10,1828
